Academic_ID,Student_ID,Subject,Exam_Type,Rote_Learning_Score,Conceptual_Understanding_Score,Practical_Project_Score
1,STU1001,Maths,Term 1,62,63,69
2,STU1001,Science,Term 1,67,61,73
3,STU1001,Coding,Term 1,61,64,78
4,STU1001,Civic Sense,Term 1,55,79,71
5,STU1001,Maths,Finals,57,61,77
6,STU1001,Science,Finals,68,76,74
7,STU1001,Coding,Finals,77,80,72
8,STU1001,Civic Sense,Finals,62,70,78
9,STU1002,Maths,Term 1,71,73,85
10,STU1002,Science,Term 1,56,69,68
11,STU1002,Coding,Term 1,63,71,73
12,STU1002,Civic Sense,Term 1,66,82,78
13,STU1002,Maths,Finals,62,70,66
14,STU1002,Science,Finals,60,61,65
15,STU1002,Coding,Finals,56,81,88
16,STU1002,Civic Sense,Finals,65,66,74
17,STU1003,Maths,Term 1,84,79,68
18,STU1003,Science,Term 1,68,65,73
19,STU1003,Coding,Term 1,70,71,75
20,STU1003,Civic Sense,Term 1,64,63,68
21,STU1003,Maths,Finals,76,60,86
22,STU1003,Science,Finals,72,84,69
23,STU1003,Coding,Finals,65,71,88
24,STU1003,Civic Sense,Finals,80,71,88
25,STU1004,Maths,Term 1,71,79,76
26,STU1004,Science,Term 1,62,80,73
27,STU1004,Coding,Term 1,61,78,77
28,STU1004,Civic Sense,Term 1,57,63,69
29,STU1004,Maths,Finals,75,83,84
30,STU1004,Science,Finals,58,61,83
31,STU1004,Coding,Finals,84,80,71
32,STU1004,Civic Sense,Finals,61,82,79
33,STU1005,Maths,Term 1,87,96,99
34,STU1005,Science,Term 1,95,92,97
35,STU1005,Coding,Term 1,91,96,92
36,STU1005,Civic Sense,Term 1,86,90,93
37,STU1005,Maths,Finals,98,96,94
38,STU1005,Science,Finals,96,93,97
39,STU1005,Coding,Finals,88,94,91
40,STU1005,Civic Sense,Finals,100,94,98
41,STU1006,Maths,Term 1,85,90,99
42,STU1006,Science,Term 1,93,99,92
43,STU1006,Coding,Term 1,94,88,99
44,STU1006,Civic Sense,Term 1,86,100,93
45,STU1006,Maths,Finals,97,95,100
46,STU1006,Science,Finals,87,90,97
47,STU1006,Coding,Finals,97,96,96
48,STU1006,Civic Sense,Finals,97,97,94
49,STU1007,Maths,Term 1,55,65,83
50,STU1007,Science,Term 1,61,78,87
51,STU1007,Coding,Term 1,55,85,81
52,STU1007,Civic Sense,Term 1,69,76,87
53,STU1007,Maths,Finals,78,76,73
54,STU1007,Science,Finals,64,67,74
55,STU1007,Coding,Finals,77,68,82
56,STU1007,Civic Sense,Finals,58,65,72
57,STU1008,Maths,Term 1,37,34,41
58,STU1008,Science,Term 1,50,29,48
59,STU1008,Coding,Term 1,34,33,41
60,STU1008,Civic Sense,Term 1,50,32,46
61,STU1008,Maths,Finals,72,68,70
62,STU1008,Science,Finals,75,76,81
63,STU1008,Coding,Finals,65,67,78
64,STU1008,Civic Sense,Finals,59,78,79
65,STU1009,Maths,Term 1,56,80,65
66,STU1009,Science,Term 1,81,71,72
67,STU1009,Coding,Term 1,78,68,70
68,STU1009,Civic Sense,Term 1,63,60,82
69,STU1009,Maths,Finals,76,84,83
70,STU1009,Science,Finals,58,83,88
71,STU1009,Coding,Finals,77,72,85
72,STU1009,Civic Sense,Finals,63,80,85
73,STU1010,Maths,Term 1,61,74,72
74,STU1010,Science,Term 1,65,68,71
75,STU1010,Coding,Term 1,73,80,77
76,STU1010,Civic Sense,Term 1,59,74,72
