Attendance_ID,Student_ID,Date,Morning_Session_Status,Evening_Lab_Status,Snacks_Consumed
1,STU1001,2026-04-06,Present,Present,Yes
2,STU1002,2026-04-06,Present,Present,Yes
3,STU1003,2026-04-06,Present,Present,Yes
4,STU1004,2026-04-06,Present,Present,Yes
5,STU1005,2026-04-06,Present,Present,Yes
6,STU1006,2026-04-06,Present,Present,Yes
7,STU1007,2026-04-06,Present,Present,Yes
8,STU1008,2026-04-06,Present,Present,Yes
9,STU1009,2026-04-06,Present,Present,Yes
10,STU1010,2026-04-06,Present,Present,Yes
11,STU1011,2026-04-06,Present,Present,Yes
12,STU1012,2026-04-06,Absent,Absent,No
13,STU1013,2026-04-06,Present,Present,Yes
14,STU1014,2026-04-06,Present,Present,Yes
15,STU1015,2026-04-06,Absent,Absent,No
16,STU1016,2026-04-06,Present,Present,Yes
17,STU1017,2026-04-06,Present,Present,Yes
18,STU1018,2026-04-06,Present,Present,Yes
19,STU1019,2026-04-06,Present,Present,Yes
20,STU1020,2026-04-06,Present,Present,Yes
21,STU1021,2026-04-06,Present,Present,Yes
22,STU1022,2026-04-06,Present,Present,Yes
23,STU1023,2026-04-06,Present,Present,Yes
24,STU1024,2026-04-06,Present,Present,Yes
25,STU1025,2026-04-06,Present,Present,Yes
26,STU1026,2026-04-06,Present,Present,Yes
27,STU1027,2026-04-06,Present,Present,Yes
28,STU1028,2026-04-06,Present,Present,Yes
29,STU1029,2026-04-06,Present,Present,Yes
30,STU1030,2026-04-06,Present,Present,Yes
31,STU1031,2026-04-06,Present,Present,Yes
32,STU1032,2026-04-06,Present,Present,Yes
33,STU1033,2026-04-06,Present,Present,Yes
34,STU1034,2026-04-06,Present,Present,Yes
35,STU1035,2026-04-06,Present,Present,Yes
36,STU1036,2026-04-06,Present,Present,Yes
37,STU1037,2026-04-06,Present,Present,Yes
38,STU1038,2026-04-06,Present,Present,Yes
39,STU1039,2026-04-06,Present,Present,Yes
40,STU1040,2026-04-06,Present,Present,Yes
41,STU1041,2026-04-06,Present,Present,Yes
42,STU1042,2026-04-06,Present,Present,Yes
43,STU1043,2026-04-06,Present,Present,Yes
44,STU1044,2026-04-06,Late,Absent,No
45,STU1045,2026-04-06,Present,Present,Yes
46,STU1046,2026-04-06,Present,Present,Yes
47,STU1047,2026-04-06,Present,Absent,No
48,STU1048,2026-04-06,Present,Present,Yes
49,STU1049,2026-04-06,Present,Present,Yes
50,STU1050,2026-04-06,Present,Present,Yes
51,STU1051,2026-04-06,Present,Present,Yes
52,STU1052,2026-04-06,Present,Present,Yes
53,STU1053,2026-04-06,Present,Present,Yes
54,STU1054,2026-04-06,Present,Present,Yes
55,STU1055,2026-04-06,Present,Present,Yes
56,STU1056,2026-04-06,Present,Present,Yes
57,STU1057,2026-04-06,Present,Present,Yes
58,STU1058,2026-04-06,Present,Present,Yes
59,STU1059,2026-04-06,Present,Present,Yes
60,STU1060,2026-04-06,Present,Present,Yes
61,STU1061,2026-04-06,Present,Present,Yes
62,STU1062,2026-04-06,Present,Present,Yes
63,STU1063,2026-04-06,Present,Present,Yes
64,STU1064,2026-04-06,Present,Present,Yes
65,STU1065,2026-04-06,Present,Present,Yes
66,STU1066,2026-04-06,Late,Absent,No
67,STU1067,2026-04-06,Present,Present,Yes
68,STU1068,2026-04-06,Present,Present,Yes
69,STU1069,2026-04-06,Present,Present,Yes
70,STU1070,2026-04-06,Present,Present,Yes
71,STU1071,2026-04-06,Present,Present,Yes
72,STU1072,2026-04-06,Present,Present,Yes
73,STU1073,2026-04-06,Present,Present,Yes
74,STU1074,2026-04-06,Present,Absent,No
75,STU1075,2026-04-06,Present,Present,Yes
76,STU1076,2026-04-06,Present,Present,Yes
77,STU1077,2026-04-06,Present,Present,Yes
78,STU1078,2026-04-06,Present,Present,Yes
79,STU1079,2026-04-06,Present,Present,Yes
80,STU1080,2026-04-06,Present,Present,Yes
81,STU1081,2026-04-06,Present,Present,Yes
82,STU1082,2026-04-06,Absent,Absent,No
83,STU1083,2026-04-06,Present,Present,Yes
84,STU1084,2026-04-06,Present,Present,Yes
85,STU1085,2026-04-06,Present,Present,Yes
86,STU1086,2026-04-06,Present,Present,Yes
87,STU1087,2026-04-06,Present,Present,Yes
88,STU1088,2026-04-06,Present,Present,Yes
89,STU1089,2026-04-06,Present,Present,Yes
90,STU1090,2026-04-06,Present,Present,Yes
91,STU1091,2026-04-06,Present,Present,Yes
92,STU1092,2026-04-06,Present,Present,Yes
93,STU1093,2026-04-06,Present,Absent,No
94,STU1094,2026-04-06,Present,Absent,No
95,STU1095,2026-04-06,Present,Present,Yes
96,STU1096,2026-04-06,Absent,Absent,No
97,STU1097,2026-04-06,Present,Present,Yes
98,STU1098,2026-04-06,Absent,Absent,No
99,STU1099,2026-04-06,Present,Present,Yes
100,STU1100,2026-04-06,Present,Present,Yes
101,STU1101,2026-04-06,Present,Present,Yes
102,STU1102,2026-04-06,Present,Present,Yes
103,STU1103,2026-04-06,Present,Present,Yes
104,STU1104,2026-04-06,Present,Absent,No
105,STU1105,2026-04-06,Present,Present,Yes
106,STU1106,2026-04-06,Present,Present,Yes
107,STU1107,2026-04-06,Late,Absent,No
108,STU1108,2026-04-06,Present,Present,Yes
109,STU1109,2026-04-06,Present,Present,Yes
110,STU1110,2026-04-06,Present,Present,Yes
111,STU1111,2026-04-06,Present,Present,Yes
112,STU1112,2026-04-06,Present,Present,Yes
113,STU1113,2026-04-06,Present,Present,Yes
114,STU1114,2026-04-06,Present,Present,Yes
115,STU1115,2026-04-06,Present,Present,Yes
116,STU1116,2026-04-06,Present,Present,Yes
117,STU1117,2026-04-06,Present,Present,Yes
118,STU1118,2026-04-06,Present,Present,Yes
119,STU1119,2026-04-06,Present,Present,Yes
120,STU1120,2026-04-06,Present,Present,Yes
121,STU1121,2026-04-06,Present,Present,Yes
122,STU1122,2026-04-06,Present,Present,Yes
123,STU1123,2026-04-06,Present,Present,Yes
124,STU1124,2026-04-06,Present,Present,Yes
125,STU1125,2026-04-06,Present,Present,Yes
126,STU1126,2026-04-06,Present,Present,Yes
127,STU1127,2026-04-06,Present,Present,Yes
128,STU1128,2026-04-06,Present,Present,Yes
129,STU1129,2026-04-06,Present,Present,Yes
130,STU1130,2026-04-06,Present,Present,Yes
131,STU1131,2026-04-06,Present,Present,Yes
132,STU1132,2026-04-06,Present,Present,Yes
133,STU1133,2026-04-06,Present,Present,Yes
134,STU1134,2026-04-06,Present,Present,Yes
135,STU1135,2026-04-06,Present,Present,Yes
136,STU1136,2026-04-06,Present,Present,Yes
137,STU1137,2026-04-06,Present,Present,Yes
138,STU1138,2026-04-06,Present,Present,Yes
139,STU1139,2026-04-06,Late,Absent,No
140,STU1140,2026-04-06,Present,Present,Yes
141,STU1141,2026-04-06,Present,Present,Yes
142,STU1142,2026-04-06,Late,Absent,No
143,STU1143,2026-04-06,Present,Present,Yes
144,STU1144,2026-04-06,Present,Present,Yes
145,STU1145,2026-04-06,Late,Absent,No
146,STU1146,2026-04-06,Present,Present,Yes
147,STU1147,2026-04-06,Present,Present,Yes
148,STU1148,2026-04-06,Absent,Absent,No
149,STU1149,2026-04-06,Present,Present,Yes
150,STU1150,2026-04-06,Present,Present,Yes
151,STU1151,2026-04-06,Present,Present,Yes
152,STU1152,2026-04-06,Absent,Absent,No
153,STU1153,2026-04-06,Present,Present,Yes
154,STU1154,2026-04-06,Present,Absent,No
155,STU1155,2026-04-06,Present,Present,Yes
156,STU1156,2026-04-06,Present,Present,Yes
157,STU1157,2026-04-06,Present,Present,Yes
158,STU1158,2026-04-06,Present,Present,Yes
159,STU1159,2026-04-06,Present,Present,Yes
160,STU1160,2026-04-06,Present,Present,Yes
161,STU1161,2026-04-06,Present,Present,Yes
162,STU1162,2026-04-06,Present,Present,Yes
163,STU1163,2026-04-06,Late,Absent,No
164,STU1164,2026-04-06,Present,Present,Yes
165,STU1165,2026-04-06,Present,Present,Yes
166,STU1166,2026-04-06,Present,Present,Yes
167,STU1167,2026-04-06,Present,Present,Yes
168,STU1168,2026-04-06,Present,Present,Yes
169,STU1169,2026-04-06,Present,Present,Yes
170,STU1170,2026-04-06,Absent,Absent,No
171,STU1171,2026-04-06,Present,Present,Yes
172,STU1172,2026-04-06,Present,Present,Yes
173,STU1173,2026-04-06,Present,Present,Yes
174,STU1174,2026-04-06,Present,Present,Yes
175,STU1175,2026-04-06,Present,Present,Yes
176,STU1176,2026-04-06,Present,Present,Yes
177,STU1177,2026-04-06,Present,Present,Yes
178,STU1178,2026-04-06,Present,Present,Yes
179,STU1179,2026-04-06,Present,Present,Yes
180,STU1180,2026-04-06,Present,Present,Yes
181,STU1181,2026-04-06,Present,Present,Yes
182,STU1182,2026-04-06,Present,Present,Yes
183,STU1183,2026-04-06,Present,Absent,No
184,STU1184,2026-04-06,Present,Present,Yes
185,STU1185,2026-04-06,Present,Present,Yes
186,STU1186,2026-04-06,Present,Present,Yes
187,STU1187,2026-04-06,Present,Present,Yes
188,STU1188,2026-04-06,Present,Present,Yes
189,STU1189,2026-04-06,Present,Present,Yes
190,STU1190,2026-04-06,Present,Present,Yes
191,STU1191,2026-04-06,Present,Present,Yes
192,STU1192,2026-04-06,Present,Present,Yes
193,STU1193,2026-04-06,Present,Present,Yes
194,STU1194,2026-04-06,Present,Present,Yes
195,STU1195,2026-04-06,Present,Present,Yes
196,STU1196,2026-04-06,Absent,Absent,No
197,STU1197,2026-04-06,Present,Present,Yes
198,STU1198,2026-04-06,Present,Present,Yes
199,STU1199,2026-04-06,Present,Present,Yes
200,STU1200,2026-04-06,Present,Present,Yes
201,STU1201,2026-04-06,Present,Absent,No
202,STU1202,2026-04-06,Present,Present,Yes
203,STU1203,2026-04-06,Absent,Absent,No
204,STU1204,2026-04-06,Present,Present,Yes
205,STU1205,2026-04-06,Present,Present,Yes
206,STU1206,2026-04-06,Present,Present,Yes
207,STU1207,2026-04-06,Present,Present,Yes
208,STU1208,2026-04-06,Present,Present,Yes
209,STU1209,2026-04-06,Present,Present,Yes
210,STU1210,2026-04-06,Present,Present,Yes
211,STU1211,2026-04-06,Present,Absent,No
212,STU1212,2026-04-06,Present,Present,Yes
213,STU1213,2026-04-06,Present,Present,Yes
214,STU1214,2026-04-06,Present,Present,Yes
215,STU1215,2026-04-06,Absent,Absent,No
216,STU1216,2026-04-06,Present,Present,Yes
217,STU1217,2026-04-06,Present,Present,Yes
218,STU1218,2026-04-06,Present,Present,Yes
219,STU1219,2026-04-06,Present,Present,Yes
220,STU1220,2026-04-06,Present,Present,Yes
221,STU1221,2026-04-06,Present,Present,Yes
222,STU1222,2026-04-06,Present,Present,Yes
223,STU1223,2026-04-06,Present,Present,Yes
224,STU1224,2026-04-06,Absent,Absent,No
225,STU1225,2026-04-06,Absent,Absent,No
226,STU1226,2026-04-06,Present,Present,Yes
227,STU1227,2026-04-06,Present,Present,Yes
228,STU1228,2026-04-06,Present,Present,Yes
229,STU1229,2026-04-06,Present,Present,Yes
230,STU1230,2026-04-06,Present,Present,Yes
231,STU1231,2026-04-06,Present,Present,Yes
232,STU1232,2026-04-06,Present,Present,Yes
233,STU1233,2026-04-06,Present,Present,Yes
234,STU1234,2026-04-06,Present,Present,Yes
235,STU1235,2026-04-06,Present,Present,Yes
236,STU1236,2026-04-06,Late,Absent,No
237,STU1237,2026-04-06,Present,Present,Yes
238,STU1238,2026-04-06,Present,Present,Yes
239,STU1239,2026-04-06,Present,Present,Yes
240,STU1240,2026-04-06,Present,Present,Yes
241,STU1241,2026-04-06,Present,Present,Yes
242,STU1242,2026-04-06,Present,Present,Yes
243,STU1243,2026-04-06,Present,Present,Yes
244,STU1244,2026-04-06,Present,Present,Yes
245,STU1245,2026-04-06,Present,Present,Yes
246,STU1246,2026-04-06,Present,Present,Yes
247,STU1247,2026-04-06,Present,Present,Yes
248,STU1248,2026-04-06,Present,Present,Yes
249,STU1249,2026-04-06,Present,Absent,No
250,STU1250,2026-04-06,Absent,Absent,No
251,STU1251,2026-04-06,Present,Present,Yes
252,STU1252,2026-04-06,Present,Present,Yes
253,STU1253,2026-04-06,Present,Present,Yes
254,STU1254,2026-04-06,Present,Present,Yes
255,STU1255,2026-04-06,Present,Present,Yes
256,STU1256,2026-04-06,Present,Present,Yes
257,STU1257,2026-04-06,Present,Present,Yes
258,STU1258,2026-04-06,Present,Present,Yes
259,STU1259,2026-04-06,Present,Present,Yes
260,STU1260,2026-04-06,Present,Present,Yes
261,STU1261,2026-04-06,Absent,Absent,No
262,STU1262,2026-04-06,Present,Present,Yes
263,STU1263,2026-04-06,Present,Present,Yes
264,STU1264,2026-04-06,Present,Present,Yes
265,STU1265,2026-04-06,Present,Present,Yes
266,STU1266,2026-04-06,Present,Present,Yes
267,STU1267,2026-04-06,Present,Present,Yes
268,STU1268,2026-04-06,Present,Present,Yes
269,STU1269,2026-04-06,Present,Present,Yes
270,STU1270,2026-04-06,Present,Present,Yes
271,STU1271,2026-04-06,Present,Present,Yes
272,STU1272,2026-04-06,Present,Present,Yes
273,STU1273,2026-04-06,Present,Present,Yes
274,STU1274,2026-04-06,Present,Present,Yes
275,STU1275,2026-04-06,Present,Present,Yes
276,STU1276,2026-04-06,Late,Absent,No
277,STU1277,2026-04-06,Present,Present,Yes
278,STU1278,2026-04-06,Present,Present,Yes
279,STU1279,2026-04-06,Present,Present,Yes
280,STU1280,2026-04-06,Present,Absent,No
281,STU1281,2026-04-06,Present,Present,Yes
282,STU1282,2026-04-06,Present,Present,Yes
283,STU1283,2026-04-06,Absent,Absent,No
284,STU1284,2026-04-06,Present,Present,Yes
285,STU1285,2026-04-06,Present,Present,Yes
286,STU1286,2026-04-06,Present,Present,Yes
287,STU1287,2026-04-06,Present,Present,Yes
288,STU1288,2026-04-06,Present,Present,Yes
289,STU1289,2026-04-06,Present,Present,Yes
290,STU1290,2026-04-06,Present,Present,Yes
291,STU1291,2026-04-06,Present,Present,Yes
292,STU1292,2026-04-06,Present,Present,Yes
293,STU1293,2026-04-06,Present,Present,Yes
294,STU1294,2026-04-06,Present,Present,Yes
295,STU1295,2026-04-06,Absent,Absent,No
296,STU1296,2026-04-06,Present,Present,Yes
297,STU1297,2026-04-06,Present,Absent,No
298,STU1298,2026-04-06,Present,Present,Yes
299,STU1299,2026-04-06,Late,Absent,No
300,STU1300,2026-04-06,Present,Present,Yes
301,STU1301,2026-04-06,Present,Present,Yes
